id,dictionary,reading,meanings,partOfSpeech,verbType,adjectiveType,jlptLevel,frequency
34,"お手上げ","おてあげ","[""being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; (literally);  throwing up (one's) hands; 火災で全てのコンピューターディスクが駄目になってしまった時、会社はもうお手上げの状況だった。; The company faced a major interruption in business when a fire destroyed their archive of computer hard drives and optical discs.""]","noun","","","N1",1
35,"お手洗い","おてあらい","[""toilet; restroom; lavatory; bathroom; お手洗いはどこですか。; Where's the restroom?""]","noun","","","N5",1
36,"お手伝いさん","おてつだいさん","[""maid; お手伝いさんたちは主人の命令を実行しようと努めた。; The servants tried to carry out their master's order.""]","noun","","","N2",1
37,"お嬢さん","おじょうさん","[""(another's) daughter; see: ; お嬢様;  1. (another's) daughter; お嬢さんは試験に合格なさったそうですね。; Your daughter passed the examination, I hear.""]","noun","","","",1
38,"お先に","おさきに","[""before; previously; お先にどうぞ。; After you.""]","adverb","","","N2",1
39,"お前","おまえ","[""you; formerly honorific, now very informal; お前を娘の夫にしよう。; You shall be my daughter's husband.""]","noun","","","N2",1
40,"お袋","おふくろ","[""(one's) mother; お袋の前ではそのことに触れるな。; Don't talk about it in my mother's presence.""]","noun","","","N1",1
41,"お大事に","おだいじに","[""take care of yourself; get well soon; くれぐれもお体をお大事に。; Please take good care of yourself.""]","expression","","","N2",1
42,"お宅","おたく","[""your house; your home; your family; お宅の暖房はどのようにしていますか。; How do you heat the house?""]","noun","","","",1
43,"お茶","おちゃ","[""tea (esp. green or barley); see: ; 茶;  1. tea; ご都合のよいときにお茶を飲みにお寄りになりませんか。; Why don't you drop in for tea at your convenience?""]","noun","","","N5",1
44,"お喋り","おしゃべり","[""chattering; talk; idle talk; chat; chitchat; gossip; 彼らは天気についておしゃべりした。; They chatted about the weather.""]","noun","suru","","N2",1
45,"お土産","おみやげ","[""local specialty or souvenir bought as a gift while traveling (travelling); see: ; 土産;  1. local specialty or souvenir bought as a gift while travelling; これは北海道からのお土産です。; This is a souvenir from Hokkaido.""]","noun","","","",1
46,"お父さん","おとうさん","[""father; dad; papa; pa; pop; daddy; dada; see: ; 父さん;  father; dad; papa; pa; pop; daddy; dada; お父さんは煙草の煙でたくさん輪を作れる。; Dad can blow many smoke rings.""]","noun","","","N5",1
47,"お腹","おなか","[""belly; abdomen; stomach; いいえ、結構です。お腹が一杯ですから。; No, thank you. I've had enough.""]","noun","","","N3",1
48,"お母さん","おかあさん","[""mother; mom; mum; ma; see: ; 母さん;  1. mother; お母さんに口答えしてはいけませんよ。; Don't answer your mother back.""]","noun","","","N5",1
49,"お洒落","おしゃれ","[""stylish; fashionable; trendy; chic; smartly dressed; careful about one's appearance; 彼女はオシャレだ。; She's fashionable.""]","noun","","na_adjective","N2",1
50,"がっかり","がっかり","[""to be disappointed; to be dejected; to be downhearted; to be discouraged; to be disheartened; to lose heart; to feel let down; その知らせにはがっかりだ。; I am disappointed at the news.""]","noun","suru","","N2",1
51,"がっくり","がっくり","[""heartbroken; crestfallen; dejected; disappointed; わが国のサッカー代表チームが歴史的大敗を喫しガックリした。; I was extremely disappointed to see our national soccer team suffer a historic loss.""]","noun","suru","","N1",1
52,"がっしり","がっしり","[""firmly; solidly; sturdily; strongly; toughly; そのスポーツ選手はがっしりした体格をしていた。; The athlete had a strong build.""]","noun","suru","","N1",1
53,"がっちり","がっちり","[""solid; robust; well-built; 彼は背が高く骨組みのがっちりした人だ。; He is a tall and strongly built man.""]","noun","suru","","N1",1
54,"きちっと","きちっと","[""exactly; perfectly; see: ; きちんと;  1. properly; accurately; exactly; precisely; regularly""]","noun","suru","","N1",1
55,"きちんと","きちんと","[""properly; accurately; exactly; precisely; regularly; 私の時計はきちんと動いている。; My watch is running all right.""]","noun","suru","","N2",1
56,"きっかり","きっかり","[""exactly; just; precisely; see: ; かっきり;  1. exactly; just; precisely""]","noun","","","N1",1
57,"きっちり","きっちり","[""exactly; precisely; punctually; on the dot; 私はきっちり３時間待った。; I have waited a full three hours.""]","noun","suru","","N1",1
58,"きっと","きっと","[""surely; undoubtedly; almost certainly; most likely (e.g. 90 percent); でもよー、オラのおとうさんは良い気しねーよ、きっと。; But I don't think Dad would like me to.""]","noun","","","",1
59,"きっぱり","きっぱり","[""clearly; plainly; distinctly; decisively; flatly; definitely; resolutely; 彼は私を中に入れるのをきっぱりと断った。; He flatly refused to let me in.""]","noun","suru","","N1",1
60,"きつい","きつい","[""tough; hard; severe; demanding; harsh; フーッ、この坂道はきついよ。でも帰りは楽だよね。; Whew! This is a tough hill. But coming back sure will be a breeze.""]","adjective","","i_adjective","N2",1
61,"ぎっしり","ぎっしり","[""tightly (packed); densely; closely; crammed; エレベーターにぎっしりいっぱいに乗った。; We jammed into the elevator.""]","noun","","","N2",1
62,"くしゃみ","くしゃみ","[""sneeze; sneezing; 咳、くしゃみ、あくびをする時は口を手で隠しなさい。; Cover your mouth when you cough, sneeze, or yawn.""]","noun","suru","","N2",1
63,"くすぐったい","くすぐったい","[""ticklish""]","adjective","","i_adjective","N1",1
64,"くっきり","くっきり","[""clearly (standing out); distinctly; sharply; boldly; in sharp relief; その木は空にくっきりと浮かび上がっていた。; The tree was clearly defined against the sky.""]","noun","suru","","N1",1
65,"ぐっすり","ぐっすり","[""soundly (sleeping); fast (asleep); 昨夜はぐっすり眠れなかった。; I couldn't sleep well last night.""]","noun","","","N2",1
66,"ぐっと","ぐっと","[""suddenly; at once; in one go; with a jerk; with a gulp""]","noun","","","N1",1
67,"げっそり","げっそり","[""to be disheartened; to be dejected; to be discouraged; to be disappointed""]","noun","suru","","N1",1
68,"こう","こう","[""in this way; like this; so; thus; used for something or someone close to the speaker, including the speaker himself, or for the opinions of the speaker; see: ; そう;  appearing that; seeming that; looking like; having the appearance of; see: ; ああ;  1. ah!; oh!; alas!; see: ; どう;  how; in what way; how about; 違いはこうだ。つまり、彼のほうが君よりよく働くのだ。; The difference is this: he works harder than you.""]","adverb","","","",1
69,"こちら","こちら","[""this way; this direction; direction close to the speaker or towards the speaker; see: ; そちら;  1. that way; that direction; see: ; あちら;  1. that way; that direction; over there; yonder; see: ; どちら;  1. which way; which direction; where; こちらへやってくる少年とその犬をごらんなさい。; Look at the boy and his dog that are coming this way.""]","noun","","","N5",1
70,"こっち","こっち","[""this way; this direction; direction close to the speaker or towards the speaker; see: ; そちら;  1. that way; that direction; see: ; あちら;  1. that way; that direction; over there; yonder; see: ; どちら;  1. which way; which direction; where; こちらへやってくる少年とその犬をごらんなさい。; Look at the boy and his dog that are coming this way.""]","noun","","","N4",1
71,"こちらこそ","こちらこそ","[""it is I who should say so""]","expression","","","N2",1
72,"こっそり","こっそり","[""stealthily; secretly; in secret; 彼はそのことを私にこっそり話してくれた。; He told me about it in private.""]","noun","","","N2",1
73,"この間","このあいだ","[""the other day; lately; recently; during this period; この間の台風で、時速２００キロの風が吹きました。; In the last typhoon, the wind blew at over 200 kilometers per hour!""]","noun","","","",1
74,"この頃","このごろ","[""these days; nowadays; now; at present; recently; lately; このごろ少しも見ないです。; I have seen nothing of him lately.""]","noun","","","",1
75,"これから","これから","[""from now on; after this; in the future; in future; これからは決してうそをつきません。; I will never tell a lie from now on.""]","expression","","","",1
76,"こんな","こんな","[""this sort of; this kind of; like this; such; about something or someone close to the speaker (including the speaker), or about ideas expressed by the speaker; see: ; あんな;  that sort of; that kind of; like that; such; so; see: ; そんな;  1. such; that sort of; that kind of; like that; see: ; どんな;  1. what kind of; what sort of; what; こんな風に、彼は私を扱った。; This is the way he treated me.""]","noun","","","N5",1
77,"こんなに","こんなに","[""so; like this; in this way; this much; to this extent; see: ; こんな;  this sort of; this kind of; like this; such; どうして帰りがこんなに遅くなったの。; Why did you come home so late?""]","adverb","","","N2",1
78,"ご苦労様","ごくろうさま","[""thank you (for your hard work); I appreciate your efforts; usu. to one's subordinate; see: ; お疲れ様;  1. thank you (for your hard work); good work; ご苦労様でした。; Thank you for your trouble.""]","noun","","na_adjective","N2",1
79,"さあ","さあ","[""come (on); come now; come along; here; used to urge or encourage others; さあ東京駅に着きました。; Here we were at Tokyo Station.""]","noun","","","N5",1
80,"さっき","さっき","[""a short while ago; a moment ago; just now; some time ago; いいからさっき盗ったモノを、カバンの中から出しなさい。; Never mind that, just take out what you've just nicked from your bag.""]","noun","","","",1
81,"さっさと","さっさと","[""quickly; promptly; immediately; without delay; without hesitation; briskly; hurriedly; hastily; さっさと宿題をしなさい。; Do your homework without delay.""]","noun","","","N2",1
82,"さっと","さっと","[""quickly (esp. actions); 彼は教室をさっと抜け出した。; He slipped out of the classroom.""]","adverb","","","N1",1
83,"さっぱり","さっぱり","[""feeling refreshed; feeling relieved; ほんの一寝入りしたら、さっぱりした。; Just a spot of shut-eye has already refreshed my mind.""]","noun","suru","","N2",1
84,"ざっと","ざっと","[""roughly; approximately; round about; more or less; 私はパンフレットにざっと目をとおした。; I glanced through the brochure.""]","noun","","","N2",1
85,"しくじる","しくじる","[""to fail; to blunder; to mess up; to screw up; 今回はしくじれないぞ。; You cannot fail this time.""]","verb","godan","","N1",1
86,"しぶとい","しぶとい","[""tenacious; tough; enduring; dogged; headstrong; stubborn; obstinate; unyielding; 彼は結構しぶといね。転んでもただでは起きぬ、いい根性しているよ。; He's a tenacious guy who always manages to come out on top. He's the kind of guy who can turn any situation to his advantage.""]","adjective","","i_adjective","N1",1
87,"しみじみ","しみじみ","[""keenly; deeply; fully; heartily; seriously; earnestly; その悲しい話は彼女にしみじみと感じられた。; The sad story came home to her.""]","noun","","","N2",1
88,"しゃがむ","しゃがむ","[""to squat; to crouch; 少し離れて見ると、その岩は人がしゃがんだ姿に見える。; Seen at a distance, the rock looks like a squatting human figure.""]","verb","godan","","N2",1
89,"しゃっくり","しゃっくり","[""hiccup; hiccough; しゃっくりがよく出ます。; I hiccup a lot.""]","noun","suru","","N2",1
90,"しゃぶる","しゃぶる","[""to suck; to lick; あんなやつを信用したら骨までしゃぶられちゃうぞ。; If you trust such a fellow, you'll lose everything you have.""]","verb","godan","","N2",1
91,"しょっちゅう","しょっちゅう","[""always; all the time; constantly; frequently; often; そのような事はしょっちゅう起こる。; Such a thing occurs frequently.""]","adverb","","","N1",1
92,"じっくり","じっくり","[""(slowly and) carefully; without haste; thoroughly; deliberately; closely; meticulously; じっくり彼に耳を貸す者はいない。; No one stops to listen to him.""]","noun","","","N1",1
93,"じっと","じっと","[""motionlessly (e.g. stand, wait); (be) still; じーっと is more emphatic; こうした熊独特の特徴が、熊が動かずに狩猟すること（アザラシの呼吸孔の脇でじっと動かず、アザラシが海面に上がってくるのを待つ）を好む説明になっている。; These special characteristics explain its preference for still-hunting (lying motionless beside a seal's breathing hole, waiting for one to surface).""]","noun","suru","","N2",1
94,"じゃんけん","じゃんけん","[""rock-paper-scissors (game); janken; 「じゃんけんね」「ぐー」「ちょ・・パー」「後出しかよ！」; \""Rock-paper-scissors, OK?\"" \""Rock.\"" \""Sciss... paper.\"" \""You cheated!\""""]","noun","suru","","N2",1
95,"すっかり","すっかり","[""all; completely; totally; entirely; thoroughly; 私はすっかり息が切れた。; I am completely out of breath.""]","noun","","","",1
96,"すっきり","すっきり","[""refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder; see: ; さっぱり;  1. feeling refreshed; feeling relieved; 一杯のコーヒーを飲んだら頭がすっきりした。; A cup of coffee cleared my head.""]","noun","suru","","N2",1
97,"すっと","すっと","[""straight; quickly; directly; all of a sudden; スーッと and すうっと are more emphatic; 彼はそのそばでシャツをすうっと着た。; He slipped the gaudy shirt on.; カタツムリがすっと角を出した。; The snail shot out its horns.""]","noun","suru","","",1
98,"すばしこい","すばしこい","[""quick; nimble; agile; リスはすばしこく木を登る。; Squirrels are nimble in climbing trees.""]","adjective","","i_adjective","N1",1
99,"すると","すると","[""(and) then; and; thereupon; whereupon; スージーは真夜中までおきていた。すると奇妙な物音が聞こえた。; Susie sat up until midnight, when she heard a strange noise.""]","noun","","","",1
100,"すんなり","すんなり","[""slim; slender; lithe; supple""]","noun","suru","","N1",1
101,"ずっと","ずっと","[""continuously; the whole time; all the way; throughout; ずーっと is emphatic; ６時からずっと待っているのだが、僕の番がまだ来ない。; I've been waiting since six o'clock and still my turn hasn't come.""]","adverb","","","N3",1
102,"ずばり","ずばり","[""decisively; decidedly; boldly; once and for all; unreservedly; frankly""]","noun","","","N1",1
103,"ずらす","ずらす","[""to shift; to move; to slide; ちょっと椅子をずらしてくれない？; Could you move the chair a bit?""]","verb","godan","","N2",1
104,"ずらっと","ずらっと","[""in a line; in a row; see: ; ずらり;  in a row; in a line""]","noun","","","N1",1
105,"ずるずる","ずるずる","[""(dragging a large or heavy item) slowly""]","noun","","","N1",1
106,"ずれ","ずれ","[""gap; lag; slippage""]","noun","","","N1",1
107,"ずれる","ずれる","[""to slide; to slip off; to get dislocated; to be out of alignment; to get dislodged; to deviate; to shift (position); to be out of sync; to be slightly off; to be off-point; ピントがズレている。; That's a little out of focus.""]","verb","ichidan","","N2",1
108,"せめて","せめて","[""at least; at most; (even) just; expresses a desire or hope; せめて日常会話ができるくらいになりたい。; At the very least, I'd like to be able to have everyday conversations.""]","adverb","","","N2",1
109,"そう","そう","[""appearing that; seeming that; looking like; having the appearance of; after -masu stem or adj. stem; まもなく雨が降りそうだ。; It is going to rain soon.""]","noun","","na_adjective","",1
110,"そこ","そこ","[""there (place relatively near listener); see: ; どこ;  1. where; what place; see: ; ここ;  1. here; this place; see: ; あそこ;  1. there; over there; that place; yonder; you-know-where; １時間以内にそこに着くでしょう。; We'll arrive there within an hour.""]","noun","","","N2",1
111,"そこら","そこら","[""around there; that area; 彼女はそこらにいますか。; Is she anywhere about?""]","noun","","","N1",1
112,"そして","そして","[""and; and then; thus; and now; and finally; 私は京都と、そして奈良にも訪れる計画を立てている。; I am planning to visit Kyoto, and Nara as well.""]","noun","","","N3",1
113,"そそっかしい","そそっかしい","[""careless; thoughtless; hasty; rash; バスに傘を忘れるとは彼女はそそっかしい。; It was careless of her to leave her umbrella in the bus.""]","adjective","","i_adjective","N2",1
114,"そちら","そちら","[""that way; that direction; direction distant from the speaker, close to the listener; see: ; こちら;  1. this way; this direction; see: ; あちら;  1. that way; that direction; over there; yonder; see: ; どちら;  1. which way; which direction; where; そちらはセントラル自動車学校ではないんですか。; Isn't this Central Driving School?""]","noun","","","N5",1
115,"そっち","そっち","[""that way; that direction; direction distant from the speaker, close to the listener; see: ; こちら;  1. this way; this direction; see: ; あちら;  1. that way; that direction; over there; yonder; see: ; どちら;  1. which way; which direction; where; そちらはセントラル自動車学校ではないんですか。; Isn't this Central Driving School?""]","noun","","","N5",1
116,"そっくり","そっくり","[""all; altogether; entirely; completely; 計画はそっくり承認された。; The plan was approved in its entirety.""]","noun","","","N2",1
117,"そっと","そっと","[""softly; gently; quietly; lightly; 彼女は子供をそっと寝かせた。; She laid the child down gently.""]","noun","","","N2",1
118,"そうっと","そうっと","[""softly; gently; quietly; lightly; 彼女は子供をそっと寝かせた。; She laid the child down gently.""]","noun","","","N2",1
119,"その","その","[""that; the; something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener; see: ; この;  1. this; see: ; あの;  that; those; the; see: ; どの;  which; what (way); 毎日、放課後に私はその本屋で彼女を待った。; Every day I waited for her at the bookstore after school.""]","noun","","","N3",1
120,"その他","そのほか","[""the rest; the others; そのた is the more common reading when written; 何本か花がある。一本は赤、もう一本は白で、その他は黄だ。; There are several flowers. One is red, another is white, and the others are yellow.""]","noun","","","N2",1
121,"それ","それ","[""that; it; indicating an item or person near the listener, the action of the listener, or something on their mind; see: ; これ;  1. this; this one; see: ; あれ;  1. that; that thing; see: ; どれ;  1. which (of three or more); 万一それが起これば、君はどうしますか。; Should that happen, what will you do?""]","noun","","","N3",1
122,"それから","それから","[""and then; after that; それから長い沈黙が続いた。; There followed a long silence.""]","expression","","","N5",1
123,"それで","それで","[""so; therefore; and; (and) then; 雨がひどく降ってきた、それで私たちは屋内で遊んだ。; It was raining hard, so we played indoors.""]","noun","","","",1
124,"それとも","それとも","[""or; or else; あなたはリンゴが好きですか、それともオレンジが好きですか。; Do you like apples or oranges?""]","noun","","","N2",1
125,"それに","それに","[""besides; in addition; also; moreover; それに、みんなに仲間もできるしね。; And, we get each other's company to boot.""]","noun","","","",1
126,"そんな","そんな","[""such; that sort of; that kind of; like that; about the actions of the listener, or about ideas expressed or understood by the listener; see: ; あんな;  that sort of; that kind of; like that; such; so; see: ; こんな;  this sort of; this kind of; like this; such; see: ; どんな;  1. what kind of; what sort of; what; そんなことを言う人は嫌いだ。; I don't like those who say so.""]","noun","","","",1
127,"ぞんざい","ぞんざい","[""rough; careless; slovenly; slipshod; rude; impolite; その警官は私に対してかなりぞんざいだった。; The policeman was rather abrupt with me.""]","noun","","na_adjective","N1",1
128,"たっぷり","たっぷり","[""plentifully; amply; abundantly; copiously; generously; fully; a lot; 教授の話はユーモアたっぷりだった。; The professor's speech was full of humor.; まだ時間はたっぷりある。; We still have plenty of time left.""]","noun","","na_adjective","N2",1
129,"だから","だから","[""so; therefore; accordingly; consequently; on those grounds; that is why; for that reason; see: ; ですから;  so; therefore; accordingly; consequently; on those grounds; that is why; for that reason; １日中テニスをしていたのだから。; He was playing tennis all day.""]","noun","","","",1
130,"だけど","だけど","[""but; however; although; で、電話してみたらしいんだけど、その電話先の相手ってのが問題だったのよ。; And so it seems she tried phoning but it's who was on the other end of that phone that was the problem.""]","noun","","","N2",1
131,"だったら","だったら","[""if it's the case; see: ; だ;  be; is; だったら、私のお願いを聞いて欲しいの。それでチャラ。; If so then I want you to do something for me. That will make us even.""]","noun","","","N1",1
132,"だぶだぶ","だぶだぶ","[""loose (of clothing); baggy; see: ; ぶかぶか;  1. too large (clothing); baggy; loose-fitting; see: ; ゆったり;  2. loose; spacious; see: ; たぶたぶ;  2. loose; baggy; だぶだぶの上着が最新の流行なのだ。; Loose jackets are the latest fad.""]","noun","suru","na_adjective","N1",1
133,"だらしない","だらしない","[""slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack; それ以来彼はだらしない生活をしてきた。; He has led a loose life since then.""]","adjective","","i_adjective","N2",1
134,"ちっとも","ちっとも","[""(not) at all; (not) a bit; (not) in the least; (not) in the slightest; with neg. sentence; 最近エリザベスにちっともあってない。; I have not seen anything of Elizabeth lately.""]","adverb","","","",1
135,"ちやほや","ちやほや","[""to make a fuss over; to pamper; to spoil; to indulge; to flatter (with attention); この歌手はあまりにもチヤホヤされすぎる。; This singer is made too much of.""]","noun","suru","","N1",1
136,"ちゃんと","ちゃんと","[""diligently; seriously; earnestly; reliably; steadily; legitimately; この道具はちゃんと使えばとても役に立つ。; If it is used properly, this tool will be a great help.""]","noun","suru","","N2",1
137,"ちょくちょく","ちょくちょく","[""often; frequently; now and then; occasionally; だってお隣さんだし。ちょくちょくお邪魔するから。; Well, we're neighbours. I'll be popping over all the time.""]","adverb","","","N1",1
138,"ちらっと","ちらっと","[""at a glance; by accident; 私は彼女の顔をちらっと見かけた。; I caught a glimpse of her face.""]","noun","","","N1",1
139,"つくづく","つくづく","[""deeply; keenly; severely; completely; utterly; 彼は、自分の不幸をつくづく考えた。; He brooded over his misfortunes.""]","noun","","","N1",1
140,"てっきり","てっきり","[""surely; certainly; without doubt; used of beliefs that turned out to be false; てっきりあなたが我々といっしょに来られるものと思っていました。; I took it for granted that you would come with us.""]","adverb","","","N1",1
141,"てんで","てんで","[""(not) at all; completely; utterly; entirely; altogether; with neg. sentence; てんで見当がつきません。; I don't have the slightest idea.""]","adverb","","","N1",1
142,"でかい","でかい","[""huge; big; enormous; こんなデカイのがチャリの荷台に乗るわけないだろ。; There's no way one that big is going to go on a bike's luggage rest.""]","adjective","","i_adjective","N1",1
143,"ですから","ですから","[""so; therefore; accordingly; consequently; on those grounds; that is why; for that reason; see: ; だから;  1. so; therefore; accordingly; consequently; on those grounds; that is why; for that reason; いいえ、結構です。お腹が一杯ですから。; No, thank you. I've had enough.""]","noun","","","N2",1
144,"では","では","[""then; well; so; well then; see: ; それでは;  1. well, ...; right, ...; now, ...; では今晩またね、さようなら。; See you tonight, then. Cheers!""]","noun","","","N3",1
145,"でも","でも","[""but; however; though; nevertheless; still; yet; even so; also; as well; 「そうしたわよ」彼女は文句を言った。「でも水なんかなかったわよ」; \""I did that,\"" she complained, \""but there was no water in it!\""""]","noun","","","N3",1
146,"と","と","[""if; when; このシャンプーを買うと、素敵なヘアブラシがついてきます。; This shampoo comes with a nice hair brush.""]","noun","","","N1",1
147,"とても","とても","[""very; awfully; exceedingly; とっても is more emphatic; 「これはとてもおもしろそうだね」とひろしが言います。; \""This looks pretty interesting,\"" Hiroshi says.""]","adverb","","","N3",1
148,"とんだ","とんだ","[""unexpected; unlikely; strange; 証人喚問はとんだ騒ぎになってしまいました。; The confirmation hearings turned into a free-for-all.""]","noun","","","N1",1
149,"とんでもない","とんでもない","[""unthinkable; unexpected; absurd; outrageous; preposterous; terrible; ジャックが音楽が苦手なんてとんでもない、それどころか、ピアノを弾くのがうまい。; It isn't true that Jack is no good at music; on the contrary, he plays the piano well.""]","adjective","","i_adjective","N2",1
150,"どう","どう","[""how; in what way; how about; see: ; こう;  1. in this way; like this; so; thus; see: ; そう;  appearing that; seeming that; looking like; having the appearance of; see: ; ああ;  1. ah!; oh!; alas!; あなたはあの車をどう処理したのですか？; What did you do with that car?""]","adverb","","","N5",1
